"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"igfxEM","2","560","2203492737024","9220096","6995968","24216","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e6daaea9afe1e6f6\igfxEM.exe","""C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e6daaea9afe1e6f6\igfxEM.exe""","System.Diagnostics.Process (igfxCUIService)","Intel Corporation","0.90625","6.15.100.8854","6.15.100.8854","igfxEM Module","Intel(R) Common User Interface","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5892","8",,"False","30-08-2022 02:44:05 AM",,"3056",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24216","24216","6995968","6995968","272056","272056","17645568","17645568","27959296","27959296","2203511779328","193556480","True","Normal","6995968","6995968","igfxEM","15","2",,"System.Diagnostics.ProcessThreadCollection","560","2203492737024","174514176","False",,,,"9220096","9220096",,"System.Diagnostics.ProcessModule (igfxEM.exe)","00:00:00.6875000","00:00:00.9062500","00:00:00.2187500","0","","True",,
"IntelCpHDCPSvc","0","148","2203395579904","2781184","1433600","8216","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e6daaea9afe1e6f6\IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e6daaea9afe1e6f6\IntelCpHDCPSvc.exe","System.Diagnostics.Process (services)","Intel Corporation","0.0625","25.20.100.8854","25.20.100.8854","Intel HD Graphics Drivers for Windows(R)","Intel HD Graphics Drivers for Windows(R)","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3400","8",,"False","27-08-2022 03:47:30 AM",,"1508",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8216","8216","1433600","1433600","85752","85752","1642496","1642496","7872512","7872512","2203401916416","83693568","True","Normal","1433600","1433600","IntelCpHDCPSvc","15","0",,"System.Diagnostics.ProcessThreadCollection","148","2203395579904","77357056","False",,,,"2781184","2781184",,"System.Diagnostics.ProcessModule (IntelCpHDCPSvc.exe)","00:00:00.0312500","00:00:00.0625000","00:00:00.0312500","0","","True",,
"IntelCpHeciSvc","0","129","2203389505536","2560000","1392640","7400","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e6daaea9afe1e6f6\IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\igdlh64.inf_amd64_e6daaea9afe1e6f6\IntelCpHeciSvc.exe","System.Diagnostics.Process (services)","","0","","","","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3588","8",,"False","27-08-2022 03:47:30 AM",,"1744",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","7400","7400","1392640","1392640","71312","71312","1622016","1622016","7389184","7389184","2203396845568","78622720","True","Normal","1392640","1392640","IntelCpHeciSvc","15","0",,"System.Diagnostics.ProcessThreadCollection","129","2203389505536","71282688","False",,,,"2560000","2560000",,"System.Diagnostics.ProcessModule (IntelCpHeciSvc.exe)","00:00:00","00:00:00","00:00:00","0","","True",,
"LanWlanWwanSwitchingServiceUWP","0","250","2203424718848","4595712","3162112","14104","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_e2143fc8249238dd\LanWlanWwanSwitchingServiceUWP.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_e2143fc8249238dd\LanWlanWwanSwitchingServiceUWP.exe","System.Diagnostics.Process (services)","HP Inc.","1.640625","8.10.35.44674","8.10.35.44674+6a3b51a8d445a0db5cdb3aa08736faddaddf03fd","HP LAN/WLAN/WWAN Switching UWP Service","HP Hotkey Support","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6704","8",,"False","27-08-2022 03:47:35 AM",,"4956",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","14104","14104","3162112","3162112","146728","146728","3477504","3477504","14340096","14340096","2203433107456","114884608","True","Normal","3162112","3162112","LanWlanWwanSwitchingServiceUWP","15","0",,"System.Diagnostics.ProcessThreadCollection","250","2203424718848","106496000","False",,,,"4595712","4595712",,"System.Diagnostics.ProcessModule (LanWlanWwanSwitchingServiceUWP.exe)","00:00:01.2343750","00:00:01.6406250","00:00:00.4062500","0","","True",,
"lsass","0","1520","2203425095680","13668352","9199616","27160","C:\WINDOWS\system32\lsass.exe","C:\WINDOWS\system32\lsass.exe","System.Diagnostics.Process (wininit)","Microsoft Corporation","12.15625","10.0.19041.1586 (WinBuild.160101.0800)","10.0.19041.1586","Local Security Authority Process","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5320","9",,"False","27-08-2022 03:47:29 AM",,"948",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","27160","27160","9199616","9199616","174984","174984","9904128","9904128","25927680","25927680","2203437178880","118956032","True","Normal","9199616","9199616","lsass","15","0",,"System.Diagnostics.ProcessThreadCollection","1520","2203425095680","106872832","False",,,,"13668352","13668352",,"System.Diagnostics.ProcessModule (lsass.exe)","00:00:06.0781250","00:00:12.1562500","00:00:06.0781250","0","","True",,
"mcapexe","0","202","2203418189824","2977792","3346432","11064","C:\Program Files\Common Files\McAfee\VSCore_22_4\McApExe.exe","""C:\Program Files\Common Files\McAfee\VSCore_22_4\McApExe.exe""","System.Diagnostics.Process (services)","McAfee, LLC","3","10,18,120,0","10,18,0,0","McAfee Access Protection","McAfee VSCore Platform","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5756","8",,"False","27-08-2022 03:47:39 AM",,"6692",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11064","11064","3346432","3346432","122328","122328","3383296","3383296","11415552","11415552","2203424481280","106258432","True","Normal","3346432","3346432","mcapexe","15","0",,"System.Diagnostics.ProcessThreadCollection","202","2203418189824","99966976","False",,,,"2977792","2977792",,"System.Diagnostics.ProcessModule (McApExe.exe)","00:00:01.9531250","00:00:03","00:00:01.0468750","0","","True",,
"McCSPServiceHost","0","430","2203466661888","13377536","8241152","21568","C:\Program Files\Common Files\McAfee\CSP\5.2.110.0\McCSPServiceHost.exe","""C:\Program Files\Common Files\McAfee\CSP\5.2.110.0\\McCSPServiceHost.exe""","System.Diagnostics.Process (services)","McAfee, LLC","4.984375","5,2,110,0","5,2,110,0","McAfee CSP Service Host","McAfee Cloud Services Platform","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1272","8",,"False","27-08-2022 03:47:39 AM",,"6700",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21568","21568","8241152","8241152","194080","194080","11087872","11087872","23535616","23535616","2203489841152","171618304","True","Normal","8241152","8241152","McCSPServiceHost","15","0",,"System.Diagnostics.ProcessThreadCollection","430","2203466661888","148439040","False",,,,"13377536","13377536",,"System.Diagnostics.ProcessModule (McCSPServiceHost.exe)","00:00:02.4843750","00:00:04.9843750","00:00:02.5000000","0","","True",,
"mcshield","0","532","2203575369728","35237888","59592704","23232","C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe","""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""","System.Diagnostics.Process (mfemms)","McAfee LLC.","122.03125","Anti-Malware Core.22.4.0.1030.x64","22.4.0          ","McAfee Scanner service","Anti-Malware Core","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6464","8",,"False","27-08-2022 03:47:42 AM",,"7660",".","41943040","1048576","System.Diagnostics.ProcessModuleCollection","23232","23232","59592704","59592704","198096","198096","417087488","417087488","314589184","314589184","2203931897856","613675008","True","Normal","59592704","59592704","mcshield","15","0",,"System.Diagnostics.ProcessThreadCollection","532","2203575369728","257146880","False",,,,"35237888","35237888",,"System.Diagnostics.ProcessModule (mcshield.exe)","00:00:28.8281250","00:02:02.0312500","00:01:33.2031250","0","","True",,
"McUICnt","2","522","4541587456","14151680","13520896","34624","C:\Program Files\Common Files\McAfee\Platform\mcuicnt.exe","""C:\Program Files\Common Files\McAfee\Platform\mcuicnt.exe"" /platui /shRequest",,"McAfee, LLC","11.21875","9,19,117,0","9,19,0,0","McAfee","McAfee UI Container","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5244","8",,"False","30-08-2022 02:48:59 AM",,"3620",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","34624","34624","13520896","13520896","349112","349112","14368768","14368768","34304000","34304000","4544733184","249765888","True","Normal","13520896","13520896","McUICnt","15","2",,"System.Diagnostics.ProcessThreadCollection","522","4541587456","246620160","False",,,,"14151680","14151680",,"System.Diagnostics.ProcessModule (mcuicnt.exe)","00:00:05.8281250","00:00:11.2187500","00:00:05.3906250","131364","","True",,
"Memory Compression","0","0","87031808","59559936","286720","0",,,,,"12.125",,,,,"Process",,,"8",,"False","27-08-2022 03:47:31 AM",,"2284",".",,,,"0","0","286720","286720","4224","4224","348160","348160","116080640","116080640","143523840","143523840",,,"286720","286720","Memory Compression",,"0",,"System.Diagnostics.ProcessThreadCollection","0","87031808","87031808","False",,,,"59559936","59559936",,,"00:00:12.1250000","00:00:12.1250000","00:00:00","0","","True",,
