"Name":"SI":"Handles":"VM":"WS":"PM":"NPM":"Path":"CommandLine":"Parent":"Company":"CPU":"FileVersion":"ProductVersion":"Description":"Product":"__NounName":"SafeHandle":"Handle":"BasePriority":"ExitCode":"HasExited":"StartTime":"ExitTime":"Id":"MachineName":"MaxWorkingSet":"MinWorkingSet":"Modules":"NonpagedSystemMemorySize64":"NonpagedSystemMemorySize":"PagedMemorySize64":"PagedMemorySize":"PagedSystemMemorySize64":"PagedSystemMemorySize":"PeakPagedMemorySize64":"PeakPagedMemorySize":"PeakWorkingSet64":"PeakWorkingSet":"PeakVirtualMemorySize64":"PeakVirtualMemorySize":"PriorityBoostEnabled":"PriorityClass":"PrivateMemorySize64":"PrivateMemorySize":"ProcessName":"ProcessorAffinity":"SessionId":"StartInfo":"Threads":"HandleCount":"VirtualMemorySize64":"VirtualMemorySize":"EnableRaisingEvents":"StandardInput":"StandardOutput":"StandardError":"WorkingSet64":"WorkingSet":"SynchronizingObject":"MainModule":"PrivilegedProcessorTime":"TotalProcessorTime":"UserProcessorTime":"MainWindowHandle":"MainWindowTitle":"Responding":"Site":"Container"
"ApplicationFrameHost":"2":"327":"2203555880960":"10543104":"8552448":"19848":"C:\WINDOWS\system32\ApplicationFrameHost.exe":"C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding":"System.Diagnostics.Process (svchost)":"Microsoft Corporation":"0.203125":"10.0.19041.746 (WinBuild.160101.0800)":"10.0.19041.746":"Application Frame Host":"Microsoft® Windows® Operating System":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"3752":"8"::"False":"30-08-2022 02:45:23 AM"::"12872":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"19848":"19848":"8552448":"8552448":"330800":"330800":"10379264":"10379264":"29798400":"29798400":"2203568881664":"250658816":"True":"Normal":"8552448":"8552448":"ApplicationFrameHost":"15":"2"::"System.Diagnostics.ProcessThreadCollection":"327":"2203555880960":"237658112":"False"::::"10543104":"10543104"::"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)":"00:00:00.1406250":"00:00:00.2031250":"00:00:00.0625000":"131556":"Settings":"True"::
"conhost":"0":"102":"2203400314880":"2101248":"6377472":"6784":"C:\WINDOWS\system32\conhost.exe":"\??\C:\WINDOWS\system32\conhost.exe 0x4":"System.Diagnostics.Process (wlanext)":"Microsoft Corporation":"0.015625":"10.0.19041.1 (WinBuild.160101.0800)":"10.0.19041.1":"Console Window Host":"Microsoft® Windows® Operating System":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"3900":"8"::"False":"27-08-2022 03:47:33 AM"::"3416":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"6784":"6784":"6377472":"6377472":"80280":"80280":"6463488":"6463488":"10387456":"10387456":"2203401887744":"83664896":"True":"Normal":"6377472":"6377472":"conhost":"15":"0"::"System.Diagnostics.ProcessThreadCollection":"102":"2203400314880":"82092032":"False"::::"2101248":"2101248"::"System.Diagnostics.ProcessModule (conhost.exe)":"00:00:00":"00:00:00.0156250":"00:00:00.0156250":"0":"":"True"::
"conhost":"0":"102":"2203400323072":"2215936":"6385664":"7056":"C:\WINDOWS\system32\conhost.exe":"\??\C:\WINDOWS\system32\conhost.exe 0x4":"System.Diagnostics.Process (ModuleCoreService)":"Microsoft Corporation":"0.09375":"10.0.19041.1 (WinBuild.160101.0800)":"10.0.19041.1":"Console Window Host":"Microsoft® Windows® Operating System":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"4240":"8"::"False":"27-08-2022 03:47:40 AM"::"6160":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"7056":"7056":"6385664":"6385664":"80280":"80280":"6443008":"6443008":"10551296":"10551296":"2203401371648":"83148800":"True":"Normal":"6385664":"6385664":"conhost":"15":"0"::"System.Diagnostics.ProcessThreadCollection":"102":"2203400323072":"82100224":"False"::::"2215936":"2215936"::"System.Diagnostics.ProcessModule (conhost.exe)":"00:00:00.0468750":"00:00:00.0937500":"00:00:00.0468750":"0":"":"True"::
"conhost":"2":"105":"2203421417472":"4767744":"6483968":"7464":"C:\WINDOWS\system32\conhost.exe":"\??\C:\WINDOWS\system32\conhost.exe 0x4":"System.Diagnostics.Process (ModuleCoreService)":"Microsoft Corporation":"0.015625":"10.0.19041.1 (WinBuild.160101.0800)":"10.0.19041.1":"Console Window Host":"Microsoft® Windows® Operating System":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"4148":"8"::"False":"30-08-2022 02:45:05 AM"::"11956":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"7464":"7464":"6483968":"6483968":"121128":"121128":"6541312":"6541312":"11173888":"11173888":"2203422466048":"104243200":"True":"Normal":"6483968":"6483968":"conhost":"15":"2"::"System.Diagnostics.ProcessThreadCollection":"105":"2203421417472":"103194624":"False"::::"4767744":"4767744"::"System.Diagnostics.ProcessModule (conhost.exe)":"00:00:00.0156250":"00:00:00.0156250":"00:00:00":"0":"":"True"::
"conhost":"2":"193":"2203477860352":"20344832":"10428416":"12088":"C:\WINDOWS\system32\conhost.exe":"\??\C:\WINDOWS\system32\conhost.exe 0x4":"System.Diagnostics.Process (pwsh)":"Microsoft Corporation":"19.90625":"10.0.19041.1 (WinBuild.160101.0800)":"10.0.19041.1":"Console Window Host":"Microsoft® Windows® Operating System":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"4192":"8"::"False":"30-08-2022 04:13:29 AM"::"15312":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"12088":"12088":"10428416":"10428416":"196904":"196904":"13406208":"13406208":"22343680":"22343680":"2203482501120":"164278272":"True":"Normal":"10428416":"10428416":"conhost":"15":"2"::"System.Diagnostics.ProcessThreadCollection":"193":"2203477860352":"159637504":"False"::::"20344832":"20344832"::"System.Diagnostics.ProcessModule (conhost.exe)":"00:00:15.6562500":"00:00:19.9062500":"00:00:04.2500000":"0":"":"True"::
"csrss":"0":"863":"2203416379392":"3248128":"2224128":"26712":::::"3.015625":::::"Process":::"13"::"False":"27-08-2022 03:47:27 AM"::"712":"."::::"26712":"26712":"2224128":"2224128":"270032":"270032":"2891776":"2891776":"6725632":"6725632":"2203419332608":"101109760":::"2224128":"2224128":"csrss"::"0"::"System.Diagnostics.ProcessThreadCollection":"863":"2203416379392":"98156544":"False"::::"3248128":"3248128":::"00:00:02.6718750":"00:00:03.0156250":"00:00:00.3437500":"0":"":"True"::
"csrss":"2":"501":"2203440807936":"3411968":"2424832":"16816":::::"9.109375":::::"Process":::"13"::"False":"27-08-2022 06:11:56 AM"::"13944":"."::::"16816":"16816":"2424832":"2424832":"183144":"183144":"2646016":"2646016":"11960320":"11960320":"2203445985280":"127762432":::"2424832":"2424832":"csrss"::"2"::"System.Diagnostics.ProcessThreadCollection":"501":"2203440807936":"122585088":"False"::::"3411968":"3411968":::"00:00:08.8125000":"00:00:09.1093750":"00:00:00.2968750":"0":"":"True"::
"ctfmon":"2":"429":"2203457961984":"14786560":"4100096":"15952":"C:\WINDOWS\system32\ctfmon.exe":"""ctfmon.exe""":"System.Diagnostics.Process (svchost)":"Microsoft Corporation":"2.34375":"10.0.19041.1 (WinBuild.160101.0800)":"10.0.19041.1":"CTF Loader":"Microsoft® Windows® Operating System":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"6024":"13"::"False":"30-08-2022 02:44:04 AM"::"12296":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"15952":"15952":"4100096":"4100096":"195808":"195808":"4141056":"4141056":"16195584":"16195584":"2203460984832":"142761984":"True":"High":"4100096":"4100096":"ctfmon":"15":"2"::"System.Diagnostics.ProcessThreadCollection":"429":"2203457961984":"139739136":"False"::::"14786560":"14786560"::"System.Diagnostics.ProcessModule (ctfmon.exe)":"00:00:01.7343750":"00:00:02.3437500":"00:00:00.6093750":"0":"":"True"::
"CxAudioSvc":"0":"538":"4901650432":"8626176":"23756800":"17216":"C:\WINDOWS\CxSvc\CxAudioSvc.exe":"""C:\WINDOWS\CxSvc\CxAudioSvc.exe""":"System.Diagnostics.Process (services)":"Conexant Systems LLC.":"0.3125":"1.0.59.0":"1.0.59.0":"CxAudioSvc":"Conexant SmartAudio":"Process":"Microsoft.Win32.SafeHandles.SafeProcessHandle":"6612":"8"::"False":"27-08-2022 03:47:34 AM"::"3708":".":"1413120":"204800":"System.Diagnostics.ProcessModuleCollection":"17216":"17216":"23756800":"23756800":"310952":"310952":"23830528":"23830528":"22573056":"22573056":"4905668608":"610701312":"True":"Normal":"23756800":"23756800":"CxAudioSvc":"15":"0"::"System.Diagnostics.ProcessThreadCollection":"538":"4901650432":"606683136":"False"::::"8626176":"8626176"::"System.Diagnostics.ProcessModule (CxAudioSvc.exe)":"00:00:00.2187500":"00:00:00.3125000":"00:00:00.0937500":"0":"":"True"::
